,Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people"
788,Mexico,East,2007,River,Filtration,3.96,7.08,1.72,5.55,43.08,0.35,1133,52.34,184
789,India,Central,2000,Lake,Boiling,0.78,6.14,1.94,7.4,2.25,12.93,353,87.22,402
790,Ethiopia,East,2016,Tap,Chlorination,3.74,7.14,3.36,6.28,28.67,10.81,1107,91.33,161
791,Bangladesh,North,2006,Tap,Filtration,6.89,7.99,2.44,6.28,9.06,10.85,2602,30.77,130
792,China,North,2013,Spring,Chlorination,6.71,6.97,0.45,7.92,49.7,15.8,2113,75.83,294
793,China,North,2020,River,Filtration,1.6,6.96,1.94,9.96,6.95,7.51,4094,78.03,91
794,Pakistan,East,2020,River,Boiling,0.08,6.04,0.47,7.61,27.97,19.91,3685,97.3,74
795,Mexico,Central,2016,Lake,Filtration,7.53,7.14,0.95,8.56,33.26,18.91,3206,55.93,443
796,Nigeria,North,2008,Tap,,1.06,6.06,0.04,3.19,46.85,0.26,1109,43.67,137
797,Ethiopia,Central,2016,River,Filtration,0.82,7.43,0.91,8.67,42.36,17.91,4179,66.44,167
798,Mexico,East,2004,Pond,Chlorination,0.03,7.27,1.65,5.1,12.29,13.61,1977,61.33,257
799,Pakistan,Central,2024,Spring,Filtration,4.33,8.1,2.69,3.89,28.63,10.04,226,85.42,237
800,USA,East,2019,Tap,Boiling,5.03,7.45,4.6,3.79,47.68,11.65,2939,93.28,44
801,Mexico,East,2007,Lake,Chlorination,6.38,6.81,2.7,7.76,36.79,16.84,1012,36.07,486
802,Bangladesh,West,2005,Spring,Chlorination,2.96,7.29,3.53,9.98,34.42,19.02,4115,89.26,410
803,Ethiopia,East,2010,Well,Chlorination,7.1,7.75,1.79,7.66,37.75,11.21,3106,93.63,308
804,Pakistan,East,2018,Pond,Chlorination,1.69,6.23,3.76,4.84,16.13,3.63,3936,94.69,136
805,USA,South,2003,Lake,,8.32,7.55,3.1,4.42,36.46,12.8,2802,83.5,102
806,Brazil,North,2017,Spring,Chlorination,5.72,8.29,2.3,6.68,11.64,1.52,1466,81.95,128
807,Pakistan,West,2000,River,Chlorination,5.84,6.75,0.97,3.46,21.41,12.7,2988,31.04,160
808,Brazil,West,2012,Well,Chlorination,2.1,7.57,1.52,5.8,44.5,16.17,269,94.41,37
809,Ethiopia,West,2013,Lake,Boiling,0.74,8.05,3.1,7.66,0.95,7.07,3806,54.61,56
810,China,South,2023,River,Boiling,4.65,7.28,2.13,9.77,20.72,1.42,1531,32.88,160
811,Pakistan,East,2000,Pond,Chlorination,6.16,7.79,4.45,5.98,13.34,13.84,303,58.91,175
812,India,North,2010,Well,,0.95,6.78,1.17,4.4,9.93,6.79,4905,81.3,258
813,Brazil,Central,2016,Tap,Filtration,9.51,6.77,0.37,8.72,41.93,4.98,1932,60.94,287
814,Bangladesh,East,2003,River,,9.8,7.67,2.95,8.21,34.82,13.78,2040,83.06,460
815,India,South,2011,Spring,Chlorination,5.45,7.76,4.43,9.02,5.63,19.39,4021,65.66,404
816,Indonesia,East,2009,Lake,Chlorination,9.5,8.34,1.82,4.5,24.72,14.91,141,50.96,323
817,Indonesia,East,2005,Well,,1.79,6.56,3.24,5.83,23.35,9.83,808,44.2,144
818,USA,South,2024,River,Chlorination,0.25,7.17,1.16,9.87,7.13,12.01,947,59.48,425
819,China,West,2000,Tap,Filtration,0.39,6.63,2.79,4.11,39.99,2.85,3951,32.51,67
820,Ethiopia,West,2006,Lake,Boiling,5.88,6.2,3.93,7.7,18.33,16.26,3412,59.58,339
821,Pakistan,North,2020,Lake,Filtration,0.62,7.01,4.34,4.66,38.1,12.09,2292,34.8,267
822,Nigeria,North,2015,River,Filtration,9.59,6.94,0.53,6.5,9.6,19.32,765,91.39,217
823,Bangladesh,West,2023,Tap,Filtration,1.42,6.68,1.78,8.6,15.75,19.59,2923,70.28,300
824,Brazil,Central,2013,Pond,,3.05,6.74,3.2,6.42,4.76,7.09,938,75.22,163
825,Ethiopia,East,2022,Pond,,8.23,6.9,0.17,8.64,7.17,19.77,2496,50.22,335
826,India,Central,2019,Well,Filtration,2.19,8.47,3.45,5.98,44.16,19.14,3562,45.81,178
827,Indonesia,East,2019,River,,2.43,7.96,2.64,10.0,5.46,12.8,1262,79.55,390
828,Bangladesh,West,2005,Well,Chlorination,6.42,6.18,1.44,6.05,4.79,6.67,542,77.01,416
829,Nigeria,North,2021,Pond,Boiling,2.76,8.18,4.07,4.05,47.02,15.07,2679,38.59,47
830,Pakistan,North,2024,Lake,,2.17,7.58,1.45,5.81,32.3,5.42,2954,46.7,193
831,USA,Central,2004,Well,,2.54,8.23,4.96,8.2,5.05,12.6,2931,96.26,288
832,Nigeria,North,2023,Tap,Filtration,4.91,6.85,4.08,8.94,48.59,0.49,2781,51.29,205
833,Bangladesh,West,2020,Spring,Boiling,9.66,7.16,3.54,6.22,7.36,12.57,4239,31.81,83
834,Nigeria,Central,2017,Pond,Chlorination,8.32,8.24,0.31,7.16,38.32,19.03,2991,34.46,100
835,Bangladesh,East,2014,Pond,Chlorination,2.85,6.68,4.52,8.91,1.74,4.7,2612,84.28,154
836,Bangladesh,North,2005,Tap,Boiling,3.63,8.29,3.95,8.69,31.23,15.56,3648,83.0,46
837,Mexico,South,2024,Well,Chlorination,4.65,8.07,1.15,7.6,27.34,5.87,1199,56.73,233
838,Brazil,North,2018,River,Boiling,9.79,8.45,1.96,8.71,10.4,14.16,2117,40.72,340
839,Indonesia,East,2000,Lake,Filtration,1.72,6.81,1.34,7.03,32.16,14.0,2680,64.87,449
840,Mexico,Central,2000,Spring,Chlorination,3.57,6.59,4.92,3.03,30.85,3.69,2848,53.23,298
841,Pakistan,East,2012,River,Chlorination,7.29,6.83,4.27,3.29,39.92,11.94,4688,56.18,335
842,Mexico,South,2002,River,Boiling,9.64,8.39,4.65,9.86,43.79,17.18,4662,48.27,146
843,China,West,2009,Tap,Chlorination,1.56,6.83,3.94,4.01,25.51,7.65,4786,34.4,195
844,China,North,2020,Well,,2.27,7.41,2.28,5.83,24.51,14.21,3681,85.38,393
845,Indonesia,Central,2002,Pond,Filtration,2.26,7.01,1.03,9.54,31.08,13.49,3495,73.28,21
846,Nigeria,West,2008,Pond,Chlorination,0.21,6.99,1.04,4.37,36.46,5.15,664,88.42,459
847,Brazil,East,2007,Tap,Chlorination,6.04,6.48,0.76,8.91,17.81,18.37,4501,65.22,193
848,Indonesia,Central,2002,Well,Chlorination,6.71,7.34,2.73,8.73,25.23,11.27,3162,98.95,385
849,Bangladesh,West,2024,Tap,Boiling,6.03,8.12,4.6,9.9,29.26,7.11,3365,97.38,488
850,India,Central,2012,Pond,Filtration,0.71,6.12,4.96,4.97,49.42,3.29,1416,49.02,363
851,Brazil,South,2005,River,Filtration,0.69,8.22,1.44,5.21,29.39,9.47,3108,57.09,353
852,Brazil,South,2012,Lake,Chlorination,2.1,7.66,3.49,9.32,11.21,14.6,516,82.69,273
853,Bangladesh,North,2022,Well,Chlorination,2.9,7.54,2.99,4.64,29.4,12.47,849,84.36,383
854,Bangladesh,North,2019,Spring,Boiling,7.87,7.56,2.44,6.84,40.97,14.54,1901,93.75,207
855,USA,South,2019,Spring,Filtration,1.59,6.74,3.33,7.95,42.87,15.84,907,75.68,274
856,Indonesia,Central,2011,River,,0.44,7.04,1.86,4.9,40.01,8.82,315,63.26,494
857,Bangladesh,South,2012,Tap,Chlorination,3.94,8.0,4.72,9.57,44.41,10.4,3243,56.44,216
858,China,North,2001,Tap,,4.16,6.77,3.53,7.66,16.74,19.73,1507,59.34,413
859,Pakistan,South,2020,Pond,,4.51,7.18,3.77,3.33,25.38,19.36,4122,89.53,495
860,India,South,2023,River,Filtration,8.27,6.05,1.21,3.95,38.98,8.3,1518,98.6,389
861,Indonesia,Central,2022,Pond,,0.98,7.83,0.84,4.34,13.22,13.7,4150,33.63,26
862,Ethiopia,West,2015,Pond,Chlorination,7.04,7.04,1.97,4.71,18.58,5.35,1934,70.62,14
863,China,North,2022,Spring,Chlorination,3.38,7.31,3.83,8.11,41.56,3.05,4344,66.4,158
864,Nigeria,Central,2005,Pond,Boiling,3.1,6.29,4.69,3.62,38.5,15.37,1801,56.33,427
865,Bangladesh,South,2018,Pond,Filtration,9.33,8.48,2.14,5.45,48.56,8.72,2622,89.61,213
866,Ethiopia,South,2020,Spring,Filtration,2.48,6.76,3.87,9.38,49.8,3.54,856,70.3,459
867,Bangladesh,West,2012,Tap,,6.43,7.59,2.35,6.9,12.04,15.18,1876,51.92,393
868,Brazil,North,2016,Well,Chlorination,2.75,7.45,1.48,4.86,45.02,18.3,1525,61.09,404
869,China,North,2022,Lake,Chlorination,5.07,7.96,3.7,9.7,4.73,18.67,1416,54.98,430
870,Brazil,East,2008,Pond,Boiling,7.86,6.73,3.99,4.71,35.49,11.93,3479,60.11,438
871,USA,North,2016,Well,,8.82,7.89,1.01,9.34,11.0,9.59,3871,34.99,378
872,Brazil,West,2001,Spring,Chlorination,8.39,6.96,1.53,8.08,15.02,2.84,1794,37.83,350
873,USA,East,2018,Well,Filtration,5.82,7.03,2.47,8.18,47.32,15.86,3065,73.66,163
874,USA,East,2018,Lake,Boiling,2.49,7.68,0.93,8.35,13.16,18.91,2720,77.88,126
875,Ethiopia,South,2023,Well,Filtration,6.61,7.96,4.64,6.55,33.66,17.79,4204,74.56,329
876,Bangladesh,South,2006,Well,Boiling,7.1,7.67,2.96,8.7,8.91,15.04,3676,83.42,57
877,Nigeria,North,2021,Well,Filtration,0.11,8.25,0.61,8.85,4.67,0.09,352,96.05,146
878,Brazil,East,2009,Well,,4.39,6.71,0.92,5.52,16.97,8.16,3231,90.24,470
879,China,South,2009,River,Chlorination,8.43,8.25,4.77,5.8,31.21,8.21,1427,59.3,447
880,USA,West,2019,Pond,Filtration,4.9,6.33,3.69,9.22,12.4,17.89,2192,45.23,255
881,Bangladesh,South,2008,Spring,,3.11,7.65,3.67,6.67,15.01,1.31,1777,51.83,109
882,India,South,2016,Lake,Filtration,8.72,7.37,0.36,9.07,35.44,10.62,3536,71.14,393
883,Indonesia,East,2014,Spring,,1.56,7.24,4.48,7.39,5.14,2.72,1116,89.93,48
884,Ethiopia,East,2001,River,Boiling,2.06,6.78,2.22,7.15,22.35,13.25,2320,79.12,181
885,Nigeria,Central,2003,River,,6.87,7.26,3.3,3.22,47.09,15.85,533,68.01,60
886,Mexico,West,2018,River,Filtration,3.52,6.4,4.8,4.95,19.85,12.84,1217,72.13,442
887,Ethiopia,East,2016,Pond,Chlorination,7.13,6.92,0.5,6.51,21.71,15.89,2988,66.98,474
888,India,North,2004,River,Boiling,1.58,6.25,2.41,7.11,36.91,12.15,2228,98.01,234
889,Indonesia,West,2006,Well,Boiling,2.52,7.43,0.25,7.41,38.95,3.8,1979,87.13,241
890,India,West,2017,Spring,,1.57,6.24,2.5,8.01,38.48,7.65,2076,84.69,129
891,Brazil,East,2020,Tap,Filtration,9.53,6.4,1.26,7.59,49.89,19.14,531,66.21,330
892,USA,West,2021,Lake,,4.05,6.21,4.56,8.94,3.57,5.76,3076,53.23,263
893,Nigeria,East,2006,River,Boiling,3.37,6.95,1.99,5.07,49.11,1.26,1944,31.37,402
894,Pakistan,South,2016,Spring,Chlorination,0.14,8.1,3.17,7.49,47.51,7.7,4235,33.04,207
895,USA,Central,2006,River,,1.53,8.27,4.3,3.36,42.61,7.33,3099,32.12,451
896,Pakistan,South,2003,Pond,Filtration,4.21,6.18,4.92,6.36,22.71,9.41,4357,98.63,141
897,Indonesia,East,2007,River,,0.69,7.59,2.52,4.88,43.55,11.21,3829,38.01,21
898,Bangladesh,East,2012,River,,5.11,7.71,2.28,5.67,11.04,19.85,4114,39.95,16
899,Mexico,South,2003,River,,4.55,7.33,0.38,5.48,39.58,15.12,2584,63.89,362
900,China,North,2005,River,Chlorination,7.67,7.67,0.06,3.42,9.26,0.72,1548,63.7,318
901,USA,North,2024,Lake,Filtration,6.6,6.58,3.04,6.27,40.77,14.25,1488,94.4,121
902,Nigeria,North,2004,Spring,Filtration,4.46,7.22,0.33,9.96,30.73,16.48,3659,35.15,281
903,India,East,2011,Pond,Boiling,2.25,6.98,1.9,5.09,4.9,17.91,227,97.01,226
904,Nigeria,West,2003,River,Boiling,7.27,6.22,0.02,8.15,44.77,8.48,4471,45.15,419
905,Indonesia,East,2023,River,,7.08,7.56,3.08,6.83,28.9,6.27,4831,97.91,372
906,Pakistan,West,2008,River,Boiling,1.53,7.24,2.13,5.28,32.81,16.79,4352,67.89,300
907,India,South,2003,River,Filtration,9.15,6.69,0.64,3.63,14.18,15.55,4928,75.64,496
908,China,Central,2018,Well,,0.64,7.18,1.48,4.51,43.58,10.72,4796,52.1,285
909,China,West,2023,Well,Boiling,0.55,7.94,2.85,8.47,27.26,2.36,698,72.83,115
910,USA,North,2013,Tap,Chlorination,1.87,8.0,3.28,4.95,21.06,13.04,437,79.76,148
911,Indonesia,East,2004,River,Boiling,9.09,7.62,2.31,4.01,26.71,1.31,1684,30.73,403
912,Bangladesh,South,2017,Tap,Chlorination,5.2,7.17,4.02,5.32,35.17,2.01,2153,32.4,169
913,Indonesia,North,2009,Lake,Boiling,7.88,7.44,0.56,7.09,34.75,6.62,4710,99.05,89
914,Pakistan,South,2024,Tap,Filtration,2.28,6.96,0.42,7.92,17.88,7.42,2914,62.03,118
915,Nigeria,Central,2018,Spring,Boiling,4.9,6.32,0.22,5.71,19.26,9.24,3217,95.51,183
916,China,East,2011,Well,Chlorination,3.58,6.96,2.68,6.49,28.11,6.78,959,81.09,395
917,Nigeria,East,2017,Well,Chlorination,8.28,7.33,3.53,6.18,46.22,0.68,1839,56.11,263
918,Nigeria,Central,2016,River,Boiling,0.23,7.5,0.65,3.06,37.27,3.15,277,40.56,226
919,Nigeria,East,2023,River,,2.44,8.34,3.19,5.77,19.52,2.3,4220,98.47,92
920,China,West,2010,Lake,Chlorination,1.53,7.94,2.38,7.11,16.85,8.62,3756,70.91,116
921,Ethiopia,South,2002,Pond,Filtration,8.59,6.38,4.94,6.99,26.18,4.24,1343,43.46,489
922,Brazil,North,2022,Lake,Boiling,4.68,6.44,3.59,8.25,43.5,5.87,4770,77.72,446
923,Pakistan,Central,2016,Spring,Chlorination,4.04,6.25,3.29,7.69,0.43,9.43,714,36.44,311
924,Ethiopia,West,2000,River,Boiling,4.49,7.85,2.85,4.94,35.52,4.71,1505,90.76,390
925,Pakistan,North,2014,River,Boiling,9.72,7.77,4.99,4.79,14.73,4.92,3921,36.31,317
926,India,North,2008,Lake,,8.5,8.47,4.9,6.25,10.42,16.66,2714,46.53,120
927,Indonesia,Central,2014,Lake,Boiling,7.06,7.31,2.69,8.13,0.61,10.96,1347,36.4,316
928,Indonesia,West,2023,Lake,Boiling,2.9,8.07,2.28,3.66,44.83,17.14,2442,37.27,137
929,Mexico,North,2002,Well,Boiling,1.65,7.44,2.31,9.64,45.61,10.29,4868,66.67,230
930,Indonesia,North,2021,Tap,Filtration,9.21,8.19,2.14,6.8,3.07,18.19,3960,78.09,305
931,China,West,2018,Tap,Boiling,4.23,7.8,2.66,5.14,26.09,5.09,1752,85.19,147
932,Bangladesh,East,2012,River,Filtration,2.79,7.61,1.37,7.85,7.63,12.33,2505,78.65,283
933,USA,North,2011,Well,Boiling,4.71,7.41,4.63,3.31,37.93,10.06,1737,55.44,141
934,Mexico,South,2019,Lake,,9.18,7.81,2.45,6.39,33.27,18.37,4169,69.01,331
935,USA,West,2000,River,,3.87,7.05,4.21,6.4,14.86,8.37,1108,94.94,7
936,Pakistan,North,2020,Well,Chlorination,5.63,6.24,2.38,4.13,5.85,17.1,2679,57.13,390
937,USA,Central,2016,Spring,Boiling,8.03,6.1,3.59,8.86,41.56,11.28,1037,47.67,4
938,USA,South,2012,Pond,,4.27,7.2,1.68,8.58,33.71,14.17,911,66.35,256
939,Mexico,North,2000,Well,,2.34,7.5,3.12,4.07,0.34,17.74,4889,50.81,366
940,India,South,2009,River,Boiling,9.95,6.2,2.49,5.55,31.39,19.94,2096,48.33,328
941,Nigeria,South,2014,Tap,Chlorination,9.57,6.72,1.84,3.7,40.51,14.62,3013,84.52,491
942,Indonesia,East,2006,Lake,Filtration,8.43,6.81,4.41,8.94,29.54,6.29,358,92.36,245
943,Indonesia,South,2021,Pond,,6.88,7.41,0.56,5.26,21.24,5.98,1076,65.16,465
944,China,East,2017,Spring,,2.95,6.7,2.43,6.08,29.2,6.18,2103,84.58,234
945,Mexico,West,2015,Pond,Filtration,9.13,6.24,0.97,5.27,30.99,1.96,4974,43.1,361
946,China,East,2013,Pond,,2.76,6.41,4.31,5.17,32.0,1.07,3527,68.34,9
947,Bangladesh,Central,2017,Well,Filtration,8.01,6.43,1.27,8.23,48.35,11.62,2302,74.53,241
948,Bangladesh,North,2006,River,Filtration,9.18,8.11,3.17,8.23,8.93,16.21,4100,64.35,441
949,China,West,2016,River,Chlorination,6.03,6.71,0.83,6.62,31.15,0.72,1604,38.18,320
950,Mexico,West,2017,Pond,Filtration,8.03,7.79,2.02,7.6,9.4,11.33,1075,81.39,187
951,China,Central,2011,Lake,Filtration,7.92,7.42,4.5,6.58,10.5,7.44,4048,88.74,403
952,Indonesia,East,2007,River,Filtration,1.93,8.44,0.83,3.2,33.46,17.85,328,74.47,313
953,Ethiopia,North,2021,Pond,Filtration,6.68,6.68,3.32,3.46,45.8,2.91,3232,41.84,426
954,Brazil,East,2001,River,,0.93,6.4,1.02,5.69,7.95,11.27,3477,35.22,412
955,USA,South,2006,Lake,Filtration,5.08,6.13,2.08,8.25,48.12,19.42,1002,51.11,1
956,Brazil,East,2003,Spring,,1.62,6.6,2.7,9.39,15.97,6.9,4878,32.59,153
957,Mexico,West,2017,Pond,Boiling,4.16,7.71,2.89,3.21,19.57,14.84,576,88.75,202
958,Brazil,North,2005,Tap,Boiling,8.33,6.21,3.01,5.58,7.68,17.65,326,79.21,216
959,Bangladesh,East,2008,Tap,Filtration,9.87,6.61,3.2,4.57,30.79,3.72,1527,69.46,481
960,Pakistan,North,2008,Pond,Chlorination,3.18,8.14,1.36,8.71,29.82,19.85,2821,92.27,314
961,USA,North,2013,Well,Chlorination,5.32,7.46,2.01,8.92,22.11,16.19,1465,37.71,104
962,Nigeria,South,2007,Spring,,5.11,6.17,0.19,4.44,23.8,2.75,3225,80.01,0
963,Mexico,South,2018,Well,,9.54,6.12,3.84,7.98,31.15,6.22,2281,40.26,253
964,USA,West,2002,Tap,Boiling,4.79,6.15,4.19,8.12,29.17,12.5,4747,34.26,286
965,Brazil,Central,2017,Lake,,6.99,8.35,1.0,4.24,18.71,17.7,2380,39.3,293
966,Bangladesh,North,2004,Pond,Chlorination,9.22,8.12,1.01,6.04,44.21,3.9,494,96.57,277
967,India,Central,2013,River,Boiling,3.73,8.11,0.21,7.34,33.38,14.62,1138,60.83,193
968,Ethiopia,West,2003,Tap,Filtration,9.02,8.31,4.85,3.18,10.27,5.41,2416,33.43,430
969,Nigeria,North,2006,Spring,,9.17,7.26,4.04,5.83,16.0,16.11,1356,70.85,256
970,Ethiopia,North,2019,Tap,Filtration,9.31,6.62,1.8,4.08,39.39,13.67,1153,43.98,249
971,USA,Central,2024,Spring,,2.7,7.0,2.41,6.79,5.23,10.46,3249,30.48,247
972,Bangladesh,East,2011,Spring,Chlorination,4.0,7.8,1.46,8.9,37.51,13.0,2142,83.09,87
973,Bangladesh,South,2001,Pond,,8.7,8.19,2.99,6.67,17.94,17.53,3388,40.84,433
974,Brazil,East,2010,Spring,Chlorination,3.59,7.09,3.59,3.25,27.58,7.73,1124,95.97,419
975,Indonesia,Central,2013,Well,Chlorination,6.0,7.34,2.24,3.21,14.03,15.39,801,71.5,252
976,Brazil,South,2021,Lake,Filtration,1.18,8.33,4.37,7.24,49.32,3.18,2042,36.09,428
977,Indonesia,East,2022,Tap,,0.56,6.27,2.59,5.3,45.29,14.02,207,45.25,163
978,Indonesia,South,2015,Lake,Filtration,4.12,8.16,0.72,7.01,46.42,15.01,2654,72.76,494
979,Nigeria,North,2019,River,Chlorination,5.79,6.4,3.11,4.15,9.24,8.86,472,53.67,161
980,Brazil,East,2005,Tap,Chlorination,3.93,7.21,2.31,8.44,42.08,15.87,1638,67.25,264
981,India,South,2022,Lake,Chlorination,5.78,6.55,4.68,9.03,26.77,11.14,135,85.97,459
982,China,South,2003,Lake,Chlorination,5.15,7.51,1.96,9.22,35.39,18.73,4356,85.48,109
983,China,South,2014,Pond,Boiling,6.86,7.4,2.01,5.13,10.88,2.25,1170,78.86,339
984,Brazil,East,2023,Pond,Chlorination,6.5,6.95,3.25,7.63,35.6,2.62,457,92.02,387
985,Brazil,West,2024,River,,4.24,8.16,2.63,4.95,45.71,16.85,1436,43.96,206
986,Ethiopia,East,2000,Spring,Chlorination,4.25,7.65,1.87,8.34,13.37,16.85,3571,42.41,318
987,Nigeria,Central,2006,Tap,Boiling,1.41,7.8,4.95,3.84,11.67,9.42,2148,85.95,131
988,Brazil,East,2024,Pond,,5.13,6.38,1.51,8.34,5.22,19.28,4242,52.46,132
989,Ethiopia,South,2011,Tap,Boiling,5.87,8.21,1.39,6.08,13.34,13.59,4812,65.85,393
990,Indonesia,North,2009,River,Boiling,4.76,6.42,4.32,8.99,26.79,19.66,506,82.08,107
991,Bangladesh,East,2004,Pond,,3.26,6.56,0.02,8.17,41.64,10.65,2605,57.72,171
992,Bangladesh,East,2011,Pond,Boiling,7.22,6.32,1.01,5.64,13.94,4.03,2383,39.11,39
993,Indonesia,South,2017,Spring,Chlorination,0.75,7.1,2.95,9.32,31.06,8.89,445,77.56,291
994,Mexico,North,2009,Tap,Filtration,9.14,8.22,0.81,4.98,23.98,19.61,2781,87.2,34
995,Ethiopia,North,2005,Tap,Filtration,0.21,6.63,4.93,9.77,14.43,7.41,443,30.9,58
996,Ethiopia,Central,2011,Tap,Filtration,9.62,6.93,2.32,8.37,25.52,19.14,117,69.38,192
997,Indonesia,East,2006,Spring,,4.62,8.12,2.99,9.93,8.4,15.94,1540,62.86,209
998,India,North,2017,Pond,,4.13,7.54,0.8,3.38,31.98,8.84,2770,48.17,371
999,Pakistan,North,2001,River,,2.56,7.88,1.45,4.92,5.78,10.84,566,41.27,30
1000,USA,West,2009,Tap,Filtration,0.1,6.54,3.07,8.19,36.55,12.15,3602,43.16,173
1001,Indonesia,West,2014,Lake,Filtration,2.75,7.79,2.75,9.46,8.89,13.32,1936,80.75,304
1002,Brazil,North,2011,Spring,,1.09,6.57,3.92,3.2,49.91,1.53,4183,67.53,389
1003,Brazil,Central,2016,Well,Filtration,6.6,8.47,1.35,3.0,41.18,18.67,1652,98.68,197
1004,Nigeria,North,2003,River,Boiling,3.19,7.4,3.27,4.79,17.19,11.94,4571,47.03,105
1005,Indonesia,South,2006,Lake,Boiling,7.67,7.74,1.45,8.97,21.31,18.62,4390,96.98,274
1006,Nigeria,East,2008,Tap,Filtration,2.07,6.3,2.93,8.37,12.96,12.64,4815,66.06,95
1007,Indonesia,Central,2018,Well,,9.0,6.63,3.03,5.38,38.36,8.62,4781,40.22,169
1008,Ethiopia,South,2022,River,Chlorination,5.23,6.35,0.61,3.01,19.04,11.34,2686,40.37,29
1009,USA,Central,2006,Spring,Chlorination,1.15,6.98,2.74,6.88,37.76,16.59,1203,72.6,281
1010,Ethiopia,South,2022,Well,Filtration,4.01,6.71,0.06,4.67,0.92,6.52,2937,88.2,386
1011,Pakistan,East,2001,Pond,Chlorination,2.07,7.83,2.51,8.22,6.78,19.13,405,82.34,160
1012,Bangladesh,East,2005,Well,,2.0,6.27,3.49,6.12,18.25,9.32,3907,75.89,305
1013,China,West,2017,Lake,Boiling,5.06,7.88,0.36,7.75,5.45,19.12,4214,42.05,414
1014,Indonesia,South,2005,River,Boiling,6.72,6.11,4.69,8.97,30.06,17.62,4079,37.58,110
1015,Pakistan,West,2012,Lake,,9.12,6.51,2.29,6.75,2.54,15.35,312,30.02,211
1016,Bangladesh,South,2018,Lake,Chlorination,5.02,7.98,4.69,5.35,42.99,9.35,162,37.13,195
1017,Mexico,West,2001,Tap,Filtration,9.66,7.86,0.54,8.39,38.07,11.74,1528,83.65,95
1018,USA,East,2011,Spring,Boiling,9.42,7.19,4.75,4.86,10.81,16.76,4388,92.67,337
1019,Nigeria,Central,2014,Well,Chlorination,8.65,6.12,0.55,9.24,24.19,10.88,4785,46.82,137
1020,Nigeria,West,2013,River,Chlorination,5.0,7.52,2.31,3.5,22.59,14.76,1565,85.64,277
1021,Ethiopia,South,2005,Pond,Boiling,1.41,7.02,4.69,8.85,36.24,15.81,4768,43.92,446
1022,Brazil,South,2017,Spring,Boiling,2.18,6.79,1.16,3.64,20.08,10.26,398,47.45,309
1023,Bangladesh,East,2004,Spring,Filtration,6.48,7.6,0.17,3.39,1.65,10.72,3586,45.69,178
1024,Mexico,South,2017,River,,4.22,7.09,3.97,5.54,13.69,3.96,1047,33.62,336
1025,Pakistan,North,2002,Spring,Chlorination,1.47,6.23,2.98,9.7,23.31,4.89,1942,43.58,233
1026,USA,Central,2002,Tap,Filtration,4.79,8.29,2.57,9.88,48.72,18.1,3130,56.15,248
1027,Bangladesh,West,2021,Spring,Boiling,0.17,7.95,0.17,4.41,44.06,16.81,2796,58.38,131
1028,Mexico,Central,2021,Tap,,7.34,6.14,3.27,4.04,9.07,0.2,239,51.66,248
1029,China,East,2009,Well,,0.74,7.31,0.86,5.47,36.16,17.39,2358,66.03,292
1030,Indonesia,West,2018,Well,Chlorination,6.29,6.21,4.66,5.36,46.84,0.5,671,56.46,454
1031,Nigeria,West,2002,Lake,,7.93,8.09,3.43,8.32,0.44,9.17,2619,97.93,498
1032,Pakistan,North,2011,Tap,Boiling,1.33,7.53,3.54,6.11,36.05,1.35,2461,86.51,62
1033,Nigeria,East,2015,Pond,Boiling,5.19,6.43,1.16,8.46,22.97,19.38,3393,95.17,306
1034,Pakistan,South,2016,Well,Boiling,7.79,6.05,4.4,8.24,34.01,19.45,401,69.02,391
1035,Ethiopia,North,2006,Spring,Filtration,2.61,6.08,2.69,7.05,30.28,12.22,2106,77.48,256
1036,Brazil,North,2012,River,Boiling,1.63,7.27,4.29,8.83,49.23,7.84,4148,41.67,247
1037,Pakistan,Central,2023,River,Filtration,3.37,7.84,1.35,4.37,14.44,10.24,1087,82.7,263
1038,Nigeria,Central,2001,Tap,Boiling,5.55,6.3,3.78,4.13,39.31,15.25,1142,46.52,466
1039,Ethiopia,Central,2003,Pond,Boiling,5.75,6.55,2.87,8.25,11.73,4.46,4381,40.21,336
1040,Pakistan,North,2009,Lake,,1.31,6.82,0.24,4.71,21.78,8.83,2065,32.93,360
1041,China,South,2006,Spring,Chlorination,4.58,6.55,2.03,3.02,48.77,14.75,3908,63.06,499
1042,Brazil,West,2023,Tap,Boiling,2.68,6.98,0.92,9.38,38.31,7.91,4255,50.08,438
1043,Pakistan,Central,2016,River,,8.42,7.4,1.8,7.36,15.79,0.64,3959,99.07,367
1044,Ethiopia,South,2019,Tap,,3.14,7.71,1.92,6.11,30.97,10.15,141,47.49,392
1045,Bangladesh,East,2005,Spring,Chlorination,8.39,8.41,2.37,8.08,2.48,14.75,396,90.66,178
1046,India,Central,2018,Pond,,4.29,8.33,3.0,5.33,13.32,19.54,2627,52.15,399
1047,Mexico,West,2004,Pond,,7.27,7.43,2.85,9.68,35.92,0.74,4629,82.44,436
1048,India,East,2009,Well,Chlorination,5.1,7.84,0.19,3.48,28.5,10.8,1555,76.19,314
